sequenceID,URL,division,country,host,state,strain,collection_data,authors
KJ501407,,MN,United-States,Bird-other,MN,WN02,2006-07-27,Newman et al
KJ501406,,MN,United-States,Bird-other,MN,WN02,2006-07-27,Newman et al
KJ501408,,MN,United-States,Bird-other,MN,WN02,2006-07-27,Newman et al
MH166914,,VA/Norfolk,United-States,Mosquito-unknown,VA,WN02,2009-08-01,Swetnam et al
KX547284,,NY/Niagara,United-States,Mosquito-Culex,NY,WN02,2008-08-16,Shabman et al
JF957180,,NV,United-States,Human,NV,WN02,2009-08-01,Anez et al
HM488205,,NY,United-States,Bird-crow,NY,WN02,2008-08-02,Henn et al
JF415927,,TX/Harris,United-States,Mosquito-Aedes,TX,WN02,2009-08-01,McMullen et al
JF415926,,TX/Harris,United-States,Mosquito-Culex,TX,WN02,2009-08-01,McMullen et al
JF415925,,TX/Harris,United-States,Mosquito-Aedes,TX,WN02,2009-08-01,McMullen et al
JF415923,,TX/Harris,United-States,Mosquito-Culex,TX,WN02,2009-08-01,McMullen et al
JF415922,,TX/Harris,United-States,Mosquito-Culex,TX,WN02,2009-08-01,McMullen et al
JF415928,,TX/Harris,United-States,Mosquito-Culex,TX,WN02,2009-08-01,McMullen et al
JF415916,,TX/Harris,United-States,Bird-other,TX,WN02,2006-08-01,McMullen et al
HM488196,,IL,United-States,Bird-crow,IL,WN02,2005-08-01,Henn et al
JN183892,,IL,United-States,Mosquito-Culex,IL,WN02,2005-08-01,Henn et al
KJ501403,,MN,United-States,Bird-other,MN,WN02,2005-08-09,Newman et al
KJ501386,,MT/Phillips,United-States,Bird-other,MT,WN02,2007-07-27,Newman et al
KX547475,,NY/Orleans,United-States,Bird-crow,NY,WN02,2006-08-06,Shabman et al
HQ671727,,NY,United-States,Bird-crow,NY,WN02,2006-08-01,Henn et al
KX547424,,NY/Onondaga,United-States,Bird-crow,NY,WN02,2007-07-10,Shabman et al
KX547335,,NY/Erie,United-States,Mosquito-Culex,NY,WN02,2008-08-06,Shabman et al
KX547257,,NY/Erie,United-States,Mosquito-Culex,NY,WN02,2007-09-24,Shabman et al
KJ501208,,CO/Larimer,United-States,Mosquito-Culex,CO,WN02,2012-07-11,Newman et al
KJ501242,,MN/Swift,United-States,Bird-other,MN,WN02,2010-09-07,Newman et al
HM488203,,NY,United-States,Bird-crow,NY,WN02,2008-08-02,Henn et al
JF957179,,LA,United-States,Human,LA,WN02,2009-08-01,Anez et al
KX547607,,NY/Erie,United-States,Mosquito-Culex,NY,WN02,2006-08-28,Shabman et al
KX547562,,NY/Erie,United-States,Mosquito-Culex,NY,WN02,2010-07-27,Shabman et al
MH170259,,GA/Fulton,United-States,Mosquito-Culex,GA,WN02,2009-08-01,Swetnam et al
KJ501441,,SD/Pennington,United-States,Bird-other,SD,WN02,2008-10-02,Newman et al
JF920731,,CT/Fairfield,United-States,Mosquito-Culex,CT,WN02,2006-08-01,Henn et al
KX547574,,NY/Suffolk,United-States,Mosquito-Culex,NY,WN02,2012-07-11,Shabman et al
KX547464,,NY/Westchester,United-States,Mosquito-Culex,NY,WN02,2009-09-16,Shabman et al
KX547598,,NY/Dutchess,United-States,Bird-crow,NY,WN02,2009-09-03,Shabman et al
KX547380,,NY/Erie,United-States,Mosquito-Culex,NY,WN02,2012-07-12,Shabman et al
KX547216,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2011-09-16,Shabman et al
KX547417,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2011-07-22,Shabman et al
